count, parallel 8 bit, parallel 14 bit, serial
      10185,'7d,'3916,'51
      10186,'ea,'1851,'a3
      10187,'2c,'3810,'47
      10188,'f2,'32af,'8f
      10189,'28,'25dc,'1e
      10190,'0c,'1ec6,'3c
      10191,'02,'136b,'79
      10192,'7f,'10e2,'f2
      10193,'95,'3a9f,'e4
      10194,'b9,'322c,'c8
      10195,'4b,'30a3,'91
      10196,'63,'3020,'22
      10197,'6f,'255f,'45
      10198,'6d,'0bb9,'8b
      10199,'12,'3d8d,'16
      10200,'87,'26d6,'2c
      10201,'3e,'21c4,'59
      10202,'75,'353e,'b3
      10203,'16,'2459,'67
      10204,'79,'2147,'ce
      10205,'14,'2041,'9d
      10206,'06,'0abf,'3a
      10207,'81,'1773,'75
      10208,'bf,'3b1a,'ea
      10209,'ca,'0dad,'d4
      10210,'dc,'0389,'a9
      10211,'a5,'2a7d,'53
      10212,'b1,'08b3,'a7
      10213,'b7,'028f,'4f
      10214,'36,'0083,'9f
      10215,'89,'157f,'3e
      10216,'43,'2ee6,'7d
      10217,'9f,'3634,'fa
      10218,'3a,'1b5b,'f4
      10219,'8b,'0712,'e8
      10220,'3c,'14fa,'d0
      10221,'0a,'1167,'a1
      10222,'83,'051e,'43
      10223,'c0,'0106,'87
      10224,'5f,'2afe,'0e
      10225,'65,'1dcc,'1c
      10226,'ee,'2c69,'38
      10227,'d2,'36b7,'71
      10228,'d8,'0e24,'e2
      10229,'5b,'29f4,'c4
      10230,'9b,'22ce,'89
      10231,'c4,'0a3c,'12
      10232,'a1,'020c,'24
      10233,'4f,'15fc,'49
      10234,'9d,'3b99,'93
      10235,'45,'18d2,'26
      10236,'1e,'2d6f,'4d
      10237,'85,'1c49,'9b
      10238,'41,'13e8,'36
      10239,'e0,'059d,'6d
      10240,'af,'1479,'da
      10241,'32,'0418,'b5
      10242,'77,'2bf8,'6b
      10243,'69,'3732,'d6
      10244,'ec,'31a5,'ad
      10245,'ad,'1ade,'5b
      10246,'4d,'3893,'b7
      10247,'e2,'27d0,'6f
      10248,'d0,'0b3a,'de
      10249,'a7,'28f2,'bd
      10250,'ce,'0830,'7b
      10251,'22,'17f0,'f6
      10252,'8f,'2e65,'ec
      10253,'c2,'234b,'d8
      10254,'20,'35bd,'b1
      10255,'f0,'3126,'63
      10256,'57,'0fa1,'c6
      10257,'99,'1675,'8d
      10258,'bb,'11e4,'1a
      10259,'34,'1061,'34
      10260,'f6,'2fe0,'69
      10261,'d6,'1cca,'d2
      10262,'26,'0697,'a5
      10263,'71,'2b7b,'4b
      10264,'e8,'224d,'97
      10265,'53,'1f43,'2e
      10266,'67,'2cea,'5d
      10267,'91,'23c8,'bb
      10268,'47,'20c2,'77
      10269,'61,'1fc0,'ee
      10270,'10,'3995,'dc
      10271,'f8,'0d2e,'b9
      10272,'ab,'16f6,'73
      10273,'cc,'049b,'e6
      10274,'5d,'3e87,'cc
      10275,'1a,'19d4,'99
      10276,'7b,'0791,'32
      10277,'6b,'0185,'65
      10278,'93,'3f81,'ca
      10279,'38,'332a,'95
      10280,'f4,'1a5d,'2a
      10281,'a9,'2dec,'55
      10282,'b3,'0936,'ab
      10283,'c8,'3d0e,'57
      10284,'a3,'33a9,'af
      10285,'30,'0f22,'5f
      10286,'08,'030a,'bf
      10287,'fc,'3f02,'7f
      10288,'55,'2655,'fe
      10289,'e6,'34bb,'fc
      10290,'2e,'1bd8,'f8
      10291,'8d,'126d,'f0
      10292,'bd,'3a1c,'e0
      10293,'b5,'2753,'c0
      10294,'49,'1e45,'81
      10295,'1c,'0614,'02
      10296,'fa,'3e04,'04
      10297,'d4,'0cab,'08
      10298,'59,'2977,'10
      10299,'e4,'37b1,'20
      10300,'51,'24da,'41
      10301,'18,'3438,'83
      10302,'04,'0ea7,'06
      10303,'fe,'3c8b,'0c
      10304,'2a,'0c28,'18
      10305,'73,'3c08,'30
      10306,'97,'1957,'61
      10307,'c6,'12ee,'c2
      10308,'de,'2f63,'85
      10309,'da,'09b5,'0a
      10310,'24,'2871,'14
      10311,'0e,'1d4f,'28
      10312,'7d,'3916,'51
      10313,'ea,'1851,'a3
      10314,'2c,'3810,'47
      10315,'f2,'32af,'8f
      10316,'28,'25dc,'1e
      10317,'0c,'1ec6,'3c
      10318,'02,'136b,'79
      10319,'7f,'10e2,'f2
      10320,'95,'3a9f,'e4
      10321,'b9,'322c,'c8
      10322,'4b,'30a3,'91
      10323,'63,'3020,'22
      10324,'6f,'255f,'45
      10325,'6d,'0bb9,'8b
      10326,'12,'3d8d,'16
      10327,'87,'26d6,'2c
      10328,'3e,'21c4,'59
      10329,'75,'353e,'b3
      10330,'16,'2459,'67
      10331,'79,'2147,'ce
      10332,'14,'2041,'9d
      10333,'06,'0abf,'3a
      10334,'81,'1773,'75
      10335,'bf,'3b1a,'ea
      10336,'ca,'0dad,'d4
      10337,'dc,'0389,'a9
      10338,'a5,'2a7d,'53
      10339,'b1,'08b3,'a7
      10340,'b7,'028f,'4f
      10341,'36,'0083,'9f
      10342,'89,'157f,'3e
      10343,'43,'2ee6,'7d
      10344,'9f,'3634,'fa
      10345,'3a,'1b5b,'f4
      10346,'8b,'0712,'e8
      10347,'3c,'14fa,'d0
      10348,'0a,'1167,'a1
      10349,'83,'051e,'43
      10350,'c0,'0106,'87
      10351,'5f,'2afe,'0e
      10352,'65,'1dcc,'1c
      10353,'ee,'2c69,'38
      10354,'d2,'36b7,'71
      10355,'d8,'0e24,'e2
      10356,'5b,'29f4,'c4
      10357,'9b,'22ce,'89
      10358,'c4,'0a3c,'12
      10359,'a1,'020c,'24
      10360,'4f,'15fc,'49
      10361,'9d,'3b99,'93
      10362,'45,'18d2,'26
      10363,'1e,'2d6f,'4d
      10364,'85,'1c49,'9b
      10365,'41,'13e8,'36
      10366,'e0,'059d,'6d
      10367,'af,'1479,'da
      10368,'32,'0418,'b5
      10369,'77,'2bf8,'6b
      10370,'69,'3732,'d6
      10371,'ec,'31a5,'ad
      10372,'ad,'1ade,'5b
      10373,'4d,'3893,'b7
      10374,'e2,'27d0,'6f
      10375,'d0,'0b3a,'de
      10376,'a7,'28f2,'bd
      10377,'ce,'0830,'7b
      10378,'22,'17f0,'f6
      10379,'8f,'2e65,'ec
      10380,'c2,'234b,'d8
      10381,'20,'35bd,'b1
      10382,'f0,'3126,'63
      10383,'57,'0fa1,'c6
      10384,'99,'1675,'8d
      10385,'bb,'11e4,'1a
      10386,'34,'1061,'34
      10387,'f6,'2fe0,'69
      10388,'d6,'1cca,'d2
      10389,'26,'0697,'a5
      10390,'71,'2b7b,'4b
      10391,'e8,'224d,'97
      10392,'53,'1f43,'2e
      10393,'67,'2cea,'5d
      10394,'91,'23c8,'bb
      10395,'47,'20c2,'77
      10396,'61,'1fc0,'ee
      10397,'10,'3995,'dc
      10398,'f8,'0d2e,'b9
      10399,'ab,'16f6,'73
      10400,'cc,'049b,'e6
      10401,'5d,'3e87,'cc
      10402,'1a,'19d4,'99
      10403,'7b,'0791,'32
      10404,'6b,'0185,'65
      10405,'93,'3f81,'ca
      10406,'38,'332a,'95
      10407,'f4,'1a5d,'2a
      10408,'a9,'2dec,'55
      10409,'b3,'0936,'ab
      10410,'c8,'3d0e,'57
      10411,'a3,'33a9,'af
      10412,'30,'0f22,'5f
      10413,'08,'030a,'bf
      10414,'fc,'3f02,'7f
      10415,'55,'2655,'fe
      10416,'e6,'34bb,'fc
      10417,'2e,'1bd8,'f8
      10418,'8d,'126d,'f0
      10419,'bd,'3a1c,'e0
      10420,'b5,'2753,'c0
      10421,'49,'1e45,'81
      10422,'1c,'0614,'02
      10423,'fa,'3e04,'04
      10424,'d4,'0cab,'08
      10425,'59,'2977,'10
      10426,'e4,'37b1,'20
      10427,'51,'24da,'41
      10428,'18,'3438,'83
      10429,'04,'0ea7,'06
      10430,'fe,'3c8b,'0c
      10431,'2a,'0c28,'18
      10432,'73,'3c08,'30
      10433,'97,'1957,'61
      10434,'c6,'12ee,'c2
      10435,'de,'2f63,'85
      10436,'da,'09b5,'0a
      10437,'24,'2871,'14
      10438,'0e,'1d4f,'28
      10439,'7d,'3916,'51
      10440,'ea,'1851,'a3
      10441,'2c,'3810,'47
      10442,'f2,'32af,'8f
      10443,'28,'25dc,'1e
      10444,'0c,'1ec6,'3c
      10445,'02,'136b,'79
      10446,'7f,'10e2,'f2
      10447,'95,'3a9f,'e4
      10448,'b9,'322c,'c8
      10449,'4b,'30a3,'91
      10450,'63,'3020,'22
      10451,'6f,'255f,'45
      10452,'6d,'0bb9,'8b
      10453,'12,'3d8d,'16
      10454,'87,'26d6,'2c
      10455,'3e,'21c4,'59
      10456,'75,'353e,'b3
      10457,'16,'2459,'67
      10458,'79,'2147,'ce
      10459,'14,'2041,'9d
      10460,'06,'0abf,'3a
      10461,'81,'1773,'75
      10462,'bf,'3b1a,'ea
      10463,'ca,'0dad,'d4
      10464,'dc,'0389,'a9
      10465,'a5,'2a7d,'53
      10466,'b1,'08b3,'a7
      10467,'b7,'028f,'4f
      10468,'36,'0083,'9f
      10469,'89,'157f,'3e
      10470,'43,'2ee6,'7d
      10471,'9f,'3634,'fa
      10472,'3a,'1b5b,'f4
      10473,'8b,'0712,'e8
      10474,'3c,'14fa,'d0
      10475,'0a,'1167,'a1
      10476,'83,'051e,'43
      10477,'c0,'0106,'87
      10478,'5f,'2afe,'0e
      10479,'65,'1dcc,'1c
      10480,'ee,'2c69,'38
      10481,'d2,'36b7,'71
      10482,'d8,'0e24,'e2
      10483,'5b,'29f4,'c4
      10484,'9b,'22ce,'89
      10485,'c4,'0a3c,'12
      10486,'a1,'020c,'24
      10487,'4f,'15fc,'49
      10488,'9d,'3b99,'93
      10489,'45,'18d2,'26
      10490,'1e,'2d6f,'4d
      10491,'85,'1c49,'9b
      10492,'41,'13e8,'36
      10493,'e0,'059d,'6d
      10494,'af,'1479,'da
      10495,'32,'0418,'b5
      10496,'77,'2bf8,'6b
      10497,'69,'3732,'d6
      10498,'ec,'31a5,'ad
      10499,'ad,'1ade,'5b
      10500,'4d,'3893,'b7
      10501,'e2,'27d0,'6f
      10502,'d0,'0b3a,'de
      10503,'a7,'28f2,'bd
      10504,'ce,'0830,'7b
      10505,'22,'17f0,'f6
      10506,'8f,'2e65,'ec
      10507,'c2,'234b,'d8
      10508,'20,'35bd,'b1
      10509,'f0,'3126,'63
      10510,'57,'0fa1,'c6
      10511,'99,'1675,'8d
      10512,'bb,'11e4,'1a
      10513,'34,'1061,'34
      10514,'f6,'2fe0,'69
      10515,'d6,'1cca,'d2
      10516,'26,'0697,'a5
      10517,'71,'2b7b,'4b
      10518,'e8,'224d,'97
      10519,'53,'1f43,'2e
      10520,'67,'2cea,'5d
      10521,'91,'23c8,'bb
      10522,'47,'20c2,'77
      10523,'61,'1fc0,'ee
      10524,'10,'3995,'dc
      10525,'f8,'0d2e,'b9
      10526,'ab,'16f6,'73
      10527,'cc,'049b,'e6
      10528,'5d,'3e87,'cc
      10529,'1a,'19d4,'99
      10530,'7b,'0791,'32
      10531,'6b,'0185,'65
      10532,'93,'3f81,'ca
      10533,'38,'332a,'95
      10534,'f4,'1a5d,'2a
      10535,'a9,'2dec,'55
      10536,'b3,'0936,'ab
      10537,'c8,'3d0e,'57
      10538,'a3,'33a9,'af
      10539,'30,'0f22,'5f
      10540,'08,'030a,'bf
      10541,'fc,'3f02,'7f
      10542,'55,'2655,'fe
      10543,'e6,'34bb,'fc
      10544,'2e,'1bd8,'f8
      10545,'8d,'126d,'f0
      10546,'bd,'3a1c,'e0
      10547,'b5,'2753,'c0
      10548,'49,'1e45,'81
      10549,'1c,'0614,'02
      10550,'fa,'3e04,'04
      10551,'d4,'0cab,'08
      10552,'59,'2977,'10
      10553,'e4,'37b1,'20
      10554,'51,'24da,'41
      10555,'18,'3438,'83
      10556,'04,'0ea7,'06
      10557,'fe,'3c8b,'0c
      10558,'2a,'0c28,'18
      10559,'73,'3c08,'30
      10560,'97,'1957,'61
      10561,'c6,'12ee,'c2
      10562,'de,'2f63,'85
      10563,'da,'09b5,'0a
      10564,'24,'2871,'14
      10565,'0e,'1d4f,'28
      10566,'7d,'3916,'51
      10567,'ea,'1851,'a3
      10568,'2c,'3810,'47
      10569,'f2,'32af,'8f
      10570,'28,'25dc,'1e
      10571,'0c,'1ec6,'3c
      10572,'02,'136b,'79
      10573,'7f,'10e2,'f2
      10574,'95,'3a9f,'e4
      10575,'b9,'322c,'c8
      10576,'4b,'30a3,'91
      10577,'63,'3020,'22
      10578,'6f,'255f,'45
      10579,'6d,'0bb9,'8b
      10580,'12,'3d8d,'16
      10581,'87,'26d6,'2c
      10582,'3e,'21c4,'59
      10583,'75,'353e,'b3
      10584,'16,'2459,'67
      10585,'79,'2147,'ce
      10586,'14,'2041,'9d
      10587,'06,'0abf,'3a
      10588,'81,'1773,'75
      10589,'bf,'3b1a,'ea
      10590,'ca,'0dad,'d4
      10591,'dc,'0389,'a9
      10592,'a5,'2a7d,'53
      10593,'b1,'08b3,'a7
      10594,'b7,'028f,'4f
      10595,'36,'0083,'9f
      10596,'89,'157f,'3e
      10597,'43,'2ee6,'7d
      10598,'9f,'3634,'fa
      10599,'3a,'1b5b,'f4
      10600,'8b,'0712,'e8
      10601,'3c,'14fa,'d0
      10602,'0a,'1167,'a1
      10603,'83,'051e,'43
      10604,'c0,'0106,'87
      10605,'5f,'2afe,'0e
      10606,'65,'1dcc,'1c
      10607,'ee,'2c69,'38
      10608,'d2,'36b7,'71
      10609,'d8,'0e24,'e2
      10610,'5b,'29f4,'c4
      10611,'9b,'22ce,'89
      10612,'c4,'0a3c,'12
      10613,'a1,'020c,'24
      10614,'4f,'15fc,'49
      10615,'9d,'3b99,'93
      10616,'45,'18d2,'26
      10617,'1e,'2d6f,'4d
      10618,'85,'1c49,'9b
      10619,'41,'13e8,'36
      10620,'e0,'059d,'6d
      10621,'af,'1479,'da
      10622,'32,'0418,'b5
      10623,'77,'2bf8,'6b
      10624,'69,'3732,'d6
      10625,'ec,'31a5,'ad
      10626,'ad,'1ade,'5b
      10627,'4d,'3893,'b7
      10628,'e2,'27d0,'6f
      10629,'d0,'0b3a,'de
      10630,'a7,'28f2,'bd
      10631,'ce,'0830,'7b
      10632,'22,'17f0,'f6
      10633,'8f,'2e65,'ec
      10634,'c2,'234b,'d8
      10635,'20,'35bd,'b1
      10636,'f0,'3126,'63
      10637,'57,'0fa1,'c6
      10638,'99,'1675,'8d
      10639,'bb,'11e4,'1a
      10640,'34,'1061,'34
      10641,'f6,'2fe0,'69
      10642,'d6,'1cca,'d2
      10643,'26,'0697,'a5
      10644,'71,'2b7b,'4b
      10645,'e8,'224d,'97
      10646,'53,'1f43,'2e
      10647,'67,'2cea,'5d
      10648,'91,'23c8,'bb
      10649,'47,'20c2,'77
      10650,'61,'1fc0,'ee
      10651,'10,'3995,'dc
      10652,'f8,'0d2e,'b9
      10653,'ab,'16f6,'73
      10654,'cc,'049b,'e6
      10655,'5d,'3e87,'cc
      10656,'1a,'19d4,'99
      10657,'7b,'0791,'32
      10658,'6b,'0185,'65
      10659,'93,'3f81,'ca
      10660,'38,'332a,'95
      10661,'f4,'1a5d,'2a
      10662,'a9,'2dec,'55
      10663,'b3,'0936,'ab
      10664,'c8,'3d0e,'57
      10665,'a3,'33a9,'af
      10666,'30,'0f22,'5f
      10667,'08,'030a,'bf
      10668,'fc,'3f02,'7f
      10669,'55,'2655,'fe
      10670,'e6,'34bb,'fc
      10671,'2e,'1bd8,'f8
      10672,'8d,'126d,'f0
      10673,'bd,'3a1c,'e0
      10674,'b5,'2753,'c0
      10675,'49,'1e45,'81
      10676,'1c,'0614,'02
      10677,'fa,'3e04,'04
      10678,'d4,'0cab,'08
      10679,'59,'2977,'10
      10680,'e4,'37b1,'20
      10681,'51,'24da,'41
      10682,'18,'3438,'83
      10683,'04,'0ea7,'06
      10684,'fe,'3c8b,'0c
      10685,'2a,'0c28,'18
      10686,'73,'3c08,'30
      10687,'97,'1957,'61
      10688,'c6,'12ee,'c2
      10689,'de,'2f63,'85
      10690,'da,'09b5,'0a
      10691,'24,'2871,'14
      10692,'0e,'1d4f,'28
      10693,'7d,'3916,'51
      10694,'ea,'1851,'a3
      10695,'2c,'3810,'47
      10696,'f2,'32af,'8f
      10697,'28,'25dc,'1e
      10698,'0c,'1ec6,'3c
      10699,'02,'136b,'79
      10700,'7f,'10e2,'f2
      10701,'95,'3a9f,'e4
      10702,'b9,'322c,'c8
      10703,'4b,'30a3,'91
      10704,'63,'3020,'22
      10705,'6f,'255f,'45
      10706,'6d,'0bb9,'8b
      10707,'12,'3d8d,'16
      10708,'87,'26d6,'2c
      10709,'3e,'21c4,'59
      10710,'75,'353e,'b3
      10711,'16,'2459,'67
      10712,'79,'2147,'ce
      10713,'14,'2041,'9d
      10714,'06,'0abf,'3a
      10715,'81,'1773,'75
      10716,'bf,'3b1a,'ea
      10717,'ca,'0dad,'d4
      10718,'dc,'0389,'a9
      10719,'a5,'2a7d,'53
      10720,'b1,'08b3,'a7
      10721,'b7,'028f,'4f
      10722,'36,'0083,'9f
      10723,'89,'157f,'3e
      10724,'43,'2ee6,'7d
      10725,'9f,'3634,'fa
      10726,'3a,'1b5b,'f4
      10727,'8b,'0712,'e8
      10728,'3c,'14fa,'d0
      10729,'0a,'1167,'a1
      10730,'83,'051e,'43
      10731,'c0,'0106,'87
      10732,'5f,'2afe,'0e
      10733,'65,'1dcc,'1c
      10734,'ee,'2c69,'38
      10735,'d2,'36b7,'71
      10736,'d8,'0e24,'e2
      10737,'5b,'29f4,'c4
      10738,'9b,'22ce,'89
      10739,'c4,'0a3c,'12
      10740,'a1,'020c,'24
      10741,'4f,'15fc,'49
      10742,'9d,'3b99,'93
      10743,'45,'18d2,'26
      10744,'1e,'2d6f,'4d
      10745,'85,'1c49,'9b
      10746,'41,'13e8,'36
      10747,'e0,'059d,'6d
      10748,'af,'1479,'da
      10749,'32,'0418,'b5
      10750,'77,'2bf8,'6b
      10751,'69,'3732,'d6
      10752,'ec,'31a5,'ad
      10753,'ad,'1ade,'5b
      10754,'4d,'3893,'b7
      10755,'e2,'27d0,'6f
      10756,'d0,'0b3a,'de
      10757,'a7,'28f2,'bd
      10758,'ce,'0830,'7b
      10759,'22,'17f0,'f6
      10760,'8f,'2e65,'ec
      10761,'c2,'234b,'d8
      10762,'20,'35bd,'b1
      10763,'f0,'3126,'63
      10764,'57,'0fa1,'c6
      10765,'99,'1675,'8d
      10766,'bb,'11e4,'1a
      10767,'34,'1061,'34
      10768,'f6,'2fe0,'69
      10769,'d6,'1cca,'d2
      10770,'26,'0697,'a5
      10771,'71,'2b7b,'4b
      10772,'e8,'224d,'97
      10773,'53,'1f43,'2e
      10774,'67,'2cea,'5d
      10775,'91,'23c8,'bb
      10776,'47,'20c2,'77
      10777,'61,'1fc0,'ee
      10778,'10,'3995,'dc
      10779,'f8,'0d2e,'b9
      10780,'ab,'16f6,'73
      10781,'cc,'049b,'e6
      10782,'5d,'3e87,'cc
      10783,'1a,'19d4,'99
      10784,'7b,'0791,'32
      10785,'6b,'0185,'65
      10786,'93,'3f81,'ca
      10787,'38,'332a,'95
      10788,'f4,'1a5d,'2a
      10789,'a9,'2dec,'55
      10790,'b3,'0936,'ab
      10791,'c8,'3d0e,'57
      10792,'a3,'33a9,'af
      10793,'30,'0f22,'5f
      10794,'08,'030a,'bf
      10795,'fc,'3f02,'7f
      10796,'55,'2655,'fe
      10797,'e6,'34bb,'fc
      10798,'2e,'1bd8,'f8
      10799,'8d,'126d,'f0
      10800,'bd,'3a1c,'e0
      10801,'b5,'2753,'c0
      10802,'49,'1e45,'81
      10803,'1c,'0614,'02
      10804,'fa,'3e04,'04
      10805,'d4,'0cab,'08
      10806,'59,'2977,'10
      10807,'e4,'37b1,'20
      10808,'51,'24da,'41
      10809,'18,'3438,'83
      10810,'04,'0ea7,'06
      10811,'fe,'3c8b,'0c
      10812,'2a,'0c28,'18
      10813,'73,'3c08,'30
      10814,'97,'1957,'61
      10815,'c6,'12ee,'c2
      10816,'de,'2f63,'85
      10817,'da,'09b5,'0a
      10818,'24,'2871,'14
      10819,'0e,'1d4f,'28
      10820,'7d,'3916,'51
      10821,'ea,'1851,'a3
      10822,'2c,'3810,'47
      10823,'f2,'32af,'8f
      10824,'28,'25dc,'1e
      10825,'0c,'1ec6,'3c
      10826,'02,'136b,'79
      10827,'7f,'10e2,'f2
      10828,'95,'3a9f,'e4
      10829,'b9,'322c,'c8
      10830,'4b,'30a3,'91
      10831,'63,'3020,'22
      10832,'6f,'255f,'45
      10833,'6d,'0bb9,'8b
      10834,'12,'3d8d,'16
      10835,'87,'26d6,'2c
      10836,'3e,'21c4,'59
      10837,'75,'353e,'b3
      10838,'16,'2459,'67
      10839,'79,'2147,'ce
      10840,'14,'2041,'9d
      10841,'06,'0abf,'3a
      10842,'81,'1773,'75
      10843,'bf,'3b1a,'ea
      10844,'ca,'0dad,'d4
      10845,'dc,'0389,'a9
      10846,'a5,'2a7d,'53
      10847,'b1,'08b3,'a7
      10848,'b7,'028f,'4f
      10849,'36,'0083,'9f
      10850,'89,'157f,'3e
      10851,'43,'2ee6,'7d
      10852,'9f,'3634,'fa
      10853,'3a,'1b5b,'f4
      10854,'8b,'0712,'e8
      10855,'3c,'14fa,'d0
      10856,'0a,'1167,'a1
      10857,'83,'051e,'43
      10858,'c0,'0106,'87
      10859,'5f,'2afe,'0e
      10860,'65,'1dcc,'1c
      10861,'ee,'2c69,'38
      10862,'d2,'36b7,'71
      10863,'d8,'0e24,'e2
      10864,'5b,'29f4,'c4
      10865,'9b,'22ce,'89
      10866,'c4,'0a3c,'12
      10867,'a1,'020c,'24
      10868,'4f,'15fc,'49
      10869,'9d,'3b99,'93
      10870,'45,'18d2,'26
      10871,'1e,'2d6f,'4d
      10872,'85,'1c49,'9b
      10873,'41,'13e8,'36
      10874,'e0,'059d,'6d
      10875,'af,'1479,'da
      10876,'32,'0418,'b5
      10877,'77,'2bf8,'6b
      10878,'69,'3732,'d6
      10879,'ec,'31a5,'ad
      10880,'ad,'1ade,'5b
      10881,'4d,'3893,'b7
      10882,'e2,'27d0,'6f
      10883,'d0,'0b3a,'de
      10884,'a7,'28f2,'bd
      10885,'ce,'0830,'7b
      10886,'22,'17f0,'f6
      10887,'8f,'2e65,'ec
      10888,'c2,'234b,'d8
      10889,'20,'35bd,'b1
      10890,'f0,'3126,'63
      10891,'57,'0fa1,'c6
      10892,'99,'1675,'8d
      10893,'bb,'11e4,'1a
      10894,'34,'1061,'34
      10895,'f6,'2fe0,'69
      10896,'d6,'1cca,'d2
      10897,'26,'0697,'a5
      10898,'71,'2b7b,'4b
      10899,'e8,'224d,'97
      10900,'53,'1f43,'2e
      10901,'67,'2cea,'5d
      10902,'91,'23c8,'bb
      10903,'47,'20c2,'77
      10904,'61,'1fc0,'ee
      10905,'10,'3995,'dc
      10906,'f8,'0d2e,'b9
      10907,'ab,'16f6,'73
      10908,'cc,'049b,'e6
      10909,'5d,'3e87,'cc
      10910,'1a,'19d4,'99
      10911,'7b,'0791,'32
      10912,'6b,'0185,'65
      10913,'93,'3f81,'ca
      10914,'38,'332a,'95
      10915,'f4,'1a5d,'2a
      10916,'a9,'2dec,'55
      10917,'b3,'0936,'ab
      10918,'c8,'3d0e,'57
      10919,'a3,'33a9,'af
      10920,'30,'0f22,'5f
      10921,'08,'030a,'bf
      10922,'fc,'3f02,'7f
      10923,'55,'2655,'fe
      10924,'e6,'34bb,'fc
      10925,'2e,'1bd8,'f8
      10926,'8d,'126d,'f0
      10927,'bd,'3a1c,'e0
      10928,'b5,'2753,'c0
      10929,'49,'1e45,'81
      10930,'1c,'0614,'02
      10931,'fa,'3e04,'04
      10932,'d4,'0cab,'08
      10933,'59,'2977,'10
      10934,'e4,'37b1,'20
      10935,'51,'24da,'41
      10936,'18,'3438,'83
      10937,'04,'0ea7,'06
      10938,'fe,'3c8b,'0c
      10939,'2a,'0c28,'18
      10940,'73,'3c08,'30
      10941,'97,'1957,'61
      10942,'c6,'12ee,'c2
      10943,'de,'2f63,'85
      10944,'da,'09b5,'0a
      10945,'24,'2871,'14
      10946,'0e,'1d4f,'28
      10947,'7d,'3916,'51
      10948,'ea,'1851,'a3
      10949,'2c,'3810,'47
      10950,'f2,'32af,'8f
      10951,'28,'25dc,'1e
      10952,'0c,'1ec6,'3c
      10953,'02,'136b,'79
      10954,'7f,'10e2,'f2
      10955,'95,'3a9f,'e4
      10956,'b9,'322c,'c8
      10957,'4b,'30a3,'91
      10958,'63,'3020,'22
      10959,'6f,'255f,'45
      10960,'6d,'0bb9,'8b
      10961,'12,'3d8d,'16
      10962,'87,'26d6,'2c
      10963,'3e,'21c4,'59
      10964,'75,'353e,'b3
      10965,'16,'2459,'67
      10966,'79,'2147,'ce
      10967,'14,'2041,'9d
      10968,'06,'0abf,'3a
      10969,'81,'1773,'75
      10970,'bf,'3b1a,'ea
      10971,'ca,'0dad,'d4
      10972,'dc,'0389,'a9
      10973,'a5,'2a7d,'53
      10974,'b1,'08b3,'a7
      10975,'b7,'028f,'4f
      10976,'36,'0083,'9f
      10977,'89,'157f,'3e
      10978,'43,'2ee6,'7d
      10979,'9f,'3634,'fa
      10980,'3a,'1b5b,'f4
      10981,'8b,'0712,'e8
      10982,'3c,'14fa,'d0
      10983,'0a,'1167,'a1
      10984,'83,'051e,'43
      10985,'c0,'0106,'87
      10986,'5f,'2afe,'0e
      10987,'65,'1dcc,'1c
      10988,'ee,'2c69,'38
      10989,'d2,'36b7,'71
      10990,'d8,'0e24,'e2
      10991,'5b,'29f4,'c4
      10992,'9b,'22ce,'89
      10993,'c4,'0a3c,'12
      10994,'a1,'020c,'24
      10995,'4f,'15fc,'49
      10996,'9d,'3b99,'93
      10997,'45,'18d2,'26
      10998,'1e,'2d6f,'4d
      10999,'85,'1c49,'9b
      11000,'41,'13e8,'36
      11001,'e0,'059d,'6d
      11002,'af,'1479,'da
      11003,'32,'0418,'b5
      11004,'77,'2bf8,'6b
      11005,'69,'3732,'d6
      11006,'ec,'31a5,'ad
      11007,'ad,'1ade,'5b
      11008,'4d,'3893,'b7
      11009,'e2,'27d0,'6f
      11010,'d0,'0b3a,'de
      11011,'a7,'28f2,'bd
      11012,'ce,'0830,'7b
      11013,'22,'17f0,'f6
      11014,'8f,'2e65,'ec
      11015,'c2,'234b,'d8
      11016,'20,'35bd,'b1
      11017,'f0,'3126,'63
      11018,'57,'0fa1,'c6
      11019,'99,'1675,'8d
      11020,'bb,'11e4,'1a
      11021,'34,'1061,'34
      11022,'f6,'2fe0,'69
      11023,'d6,'1cca,'d2
      11024,'26,'0697,'a5
      11025,'71,'2b7b,'4b
      11026,'e8,'224d,'97
      11027,'53,'1f43,'2e
      11028,'67,'2cea,'5d
      11029,'91,'23c8,'bb
      11030,'47,'20c2,'77
      11031,'61,'1fc0,'ee
      11032,'10,'3995,'dc
      11033,'f8,'0d2e,'b9
      11034,'ab,'16f6,'73
      11035,'cc,'049b,'e6
      11036,'5d,'3e87,'cc
      11037,'1a,'19d4,'99
      11038,'7b,'0791,'32
      11039,'6b,'0185,'65
      11040,'93,'3f81,'ca
      11041,'38,'332a,'95
      11042,'f4,'1a5d,'2a
      11043,'a9,'2dec,'55
      11044,'b3,'0936,'ab
      11045,'c8,'3d0e,'57
      11046,'a3,'33a9,'af
      11047,'30,'0f22,'5f
      11048,'08,'030a,'bf
      11049,'fc,'3f02,'7f
      11050,'55,'2655,'fe
      11051,'e6,'34bb,'fc
      11052,'2e,'1bd8,'f8
      11053,'8d,'126d,'f0
      11054,'bd,'3a1c,'e0
      11055,'b5,'2753,'c0
      11056,'49,'1e45,'81
      11057,'1c,'0614,'02
      11058,'fa,'3e04,'04
